,price,type,address,postcode,number_bedrooms,lat,lng,formatted_address
12037,1250000,3 bedroom apartment for sale,"Gosford Lodge, 249 New Kings Road, London, SW6",SW6,3.0,51.4725296,-0.2005593,"249 New Kings Rd, London SW6 4LS, UK"
12038,1250000,5 bedroom house for sale,"Venner Road, Sydenham, London, SE26",SE26,5.0,51.423396,-0.0549035,"Venner Rd, London SE26, UK"
12039,1250000,2 bedroom apartment for sale,"Cranley Gardens, South Kensington, London, SW7",SW7,2.0,51.4897558,-0.1788498,"Cranley Gardens, South Kensington, London SW7, UK"
12040,1250000,2 bedroom apartment for sale,"Bagshaw Building, Wardian, London, E14",E14,2.0,51.5014844,-0.022291,"Wards Place, London E14 9TP, UK"
12041,1250000,2 bedroom flat for sale,"Cornwall Gardens, South Kensington, London, SW7",SW7,2.0,51.4967053,-0.1867564,"Cornwall Gardens, London SW7, UK"
12042,1250000,4 bedroom terraced house for sale,"Ripley Gardens, London, SW14",SW14,4.0,51.4692099,-0.2607621,"Ripley Gardens, London SW14, UK"
12043,1250000,2 bedroom apartment for sale,"Cheyne Place, London, SW3",SW3,2.0,51.4844835,-0.163471,"Cheyne Pl, London SW3, UK"
12044,1250000,3 bedroom terraced house for sale,"Filmer Road, Munster Village, London, SW6",SW6,3.0,51.47640209999999,-0.2091977,"Filmer Rd & Munster Rd, London SW6 5RA, UK"
12045,1250000,1 bedroom apartment for sale,"Euston Road, London, NW1",NW1,1.0,51.5266541,-0.1328411,"Euston Rd, London NW1, UK"
12046,1250000,2 bedroom flat for sale,"Swan Court, Chelsea Manor Street, London, SW3",SW3,2.0,51.4872047,-0.1669847,"Swan Court, Chelsea Manor St, London SW3 5RT, UK"
12047,1250000,3 bedroom flat for sale,"Westcliffe Apartments, 1 South Wharf Road, London, W2",W2,3.0,51.5181783,-0.1719893,"Westcliffe Apartments, 1 S Wharf Rd, London W2 1JD, UK"
12048,1250000,3 bedroom terraced house for sale,"Brookfield Road, Chiswick, London, W4",W4,3.0,51.5017032,-0.259011,"Brookfield Rd, Chiswick, London W4, UK"
12049,1250000,3 bedroom flat for sale,"Aberdeen Park, Highbury, London, N5",N5,3.0,51.5524739,-0.0956888,"Aberdeen Park, London N5, UK"
12050,1250000,2 bedroom apartment for sale,"10 Park Drive, Canary Wharf, E14",E14,2.0,51.5024419,-0.0140168,"10 Park Drive, London E14 9ZW, UK"
12051,1250000,3 bedroom terraced house for sale,"Underhill Road, East Dulwich, London, SE22",SE22,3.0,51.4520894,-0.0653492,"Underhill Rd, London, UK"
12052,1250000,5 bedroom terraced house for sale,"Kingslawn Close, Putney, London, SW15",SW15,5.0,51.4603742,-0.2336745,"Kingslawn Cl, London SW15, UK"
12053,1200000,4 bedroom flat for sale,"Finchley Road, Hampstead, London, NW3",NW3,4.0,51.5532546,-0.189203,"Finchley Rd, London NW3, UK"
12054,1250000,4 bedroom semi-detached house for sale,"Graemesdyke Avenue, East Sheen, SW14",SW14,4.0,51.4656377,-0.2750598,"Graemesdyke Ave, London, UK"
12055,1250000,3 bedroom flat for sale,"St. Paul's Road, London, N1",N1,3.0,51.547197,-0.0942981,"St Paul's Rd, London N1, UK"
12056,1250000,2 bedroom apartment for sale,"Somerset Road, Wimbledon, London, SW19",SW19,2.0,51.4333871,-0.2188719,"Somerset Rd, London SW19, UK"
12057,1250000,2 bedroom flat for sale,"Duchess Walk, London, SE1",SE1,2.0,51.5036222,-0.0771192,"Duchess Walk, London SE1, UK"
12058,1250000,2 bedroom apartment for sale,"Arthouse, York Way, Kings Cross N1C",N1C,2.0,51.5362194,-0.1225897,"ArtHouse, London N1C, UK"
12059,1250000,2 bedroom apartment for sale,"Godwin House, One Tower Bridge, SE1",SE1,2.0,51.5030125,-0.07765269999999999,"Still Walk, London SE1 2RA, UK"
12060,1250000,2 bedroom apartment for sale,"St. Peter's Church, 124 Dartmouth Park Hill, London, N19",N19,2.0,51.5646674,-0.1404416,"St Peter's Church, 124 Dartmouth Park Hill, Archway, London N19 5HL, UK"
12061,1250000,3 bedroom terraced house for sale,"Albion Road, London, N16",N16,3.0,51.5567432,-0.0838949,"Albion Rd, London N16, UK"
12062,1250000,3 bedroom terraced house for sale,"Culford Road, London, N1",N1,3.0,51.5440533,-0.0812087,"Culford Rd, London N1, UK"
12063,1250000,3 bedroom house for sale,"Wingrave Road, Hammersmith, London, W6",W6,3.0,51.4837778,-0.2229474,"Wingrave Rd, London W6, UK"
12064,1250000,3 bedroom flat for sale,"Marina Point, Lensbury Avenue, London, SW6",SW6,3.0,51.472492,-0.1822528,"Marina Point, Lensbury Ave, London SW6 2GX, UK"
12065,1250000,3 bedroom flat for sale,"Eastfields Avenue, SW18",SW18,3.0,51.4622472,-0.1977899,"Eastfields Ave, London SW18, UK"
12066,1250000,2 bedroom flat for sale,"Somerset Road, Wimbledon, London, SW19",SW19,2.0,51.4333871,-0.2188719,"Somerset Rd, London SW19, UK"
12067,1250000,4 bedroom end of terrace house for sale,"Cathles Road, London, SW12",SW12,4.0,51.4504447,-0.1447359,"Cathles Rd, London SW12, UK"
12068,1250000,2 bedroom flat for sale,"Porchester Terrace North, London, W2",W2,2.0,51.5171584,-0.1862909,"Porchester Terrace N, London W2, UK"
12069,1250000,2 bedroom flat for sale,"Queens Gate Gardens, South Kensington, London, SW7",SW7,2.0,51.4960153,-0.1819563,"Queen's Gate Gardens, South Kensington, London SW7, UK"
12070,1250000,6 bedroom terraced house for sale,"WOODSTOCK AVENUE, LONDON, NW11",NW11,6.0,51.5737738,-0.2075904,"Woodstock Ave, London NW11, UK"
12071,1250000,2 bedroom apartment for sale,"Somerset House, Somerset Road, Wimbledon, SW19",SW19,2.0,51.4333871,-0.2188719,"Somerset Rd, London SW19, UK"
12072,1250000,2 bedroom terraced house for sale,"Half Moon Lane, Herne Hill, London, SE24",SE24,2.0,51.4530775,-0.0950406,"Half Moon Ln, London SE24, UK"
12073,1250000,2 bedroom flat for sale,"Fulham Reach, Distillery Road, London, W6",W6,2.0,51.4874406,-0.226434,"Distillery Wharf, Parr's Wy., London W6 9RU, UK"
12074,1250000,2 bedroom apartment for sale,"81 Chandos Way, London, NW11",NW11,2.0,51.5722284,-0.1896552,"81 Chandos Way, London NW11 7HF, UK"
12075,1250000,2 bedroom apartment for sale,"Oyster Wharf, 18 Lombard Road, London, SW11",SW11,2.0,51.4713602,-0.1776848,"Oyster Wharf, London SW11, UK"
12076,1250000,5 bedroom semi-detached house for sale,"Southover, Woodside Park, N12",N12,5.0,51.6216486,-0.1911908,"Southover, London N12, UK"
12077,1250000,3 bedroom apartment for sale,"Charrington Tower, New Providence Wharf, Canary Wharf, E14",E14,3.0,51.5060969,-0.005268,"1 Fairmont Ave, Blackwall, London E14 9PB, UK"
12078,1250000,2 bedroom apartment for sale,"Marsh Wall, London, E14",E14,2.0,51.5003422,-0.0177729,"Marsh Wall, London E14, UK"
12079,1250000,1 bedroom apartment for sale,"Brompton Square, London, SW3",SW3,1.0,51.4980518,-0.1687211,"Brompton Square, Brompton Square, London SW3 2AD, UK"
12080,1250000,4 bedroom end of terrace house for sale,"Hertford Road, East Finchley N2",N2,4.0,51.593056,-0.1649685,"Hertford Rd, London N2, UK"
12081,1250000,3 bedroom terraced house for sale,"Orbain Road, Fulham, London, SW6",SW6,3.0,51.4797646,-0.2099628,"Orbain Rd, London SW6, UK"
12082,1250000,3 bedroom flat for sale,"Dickens Yard, Ealing, W5",W5,3.0,51.5135961,-0.3061572,"Dickens Yard, London W5, UK"
12083,1250000,1 bedroom apartment for sale,"Kingsley Lodge, 13 New Cavendish Street, Marylebone, London, W1G",W1G,1.0,51.5188958,-0.1506696,"Kingsley Lodge, London W1U, UK"
12084,1250000,3 bedroom end of terrace house for sale,"Windsor Road, London, E7",E7,3.0,51.5484318,0.0354658,"Windsor Rd, London E7, UK"
12085,1250000,4 bedroom house for sale,"Biscay Road, Hammersmith, London, W6",W6,4.0,51.489345,-0.2202765,"Biscay Rd, London W6, UK"
12086,1250000,2 bedroom flat for sale,"Bedford Court Mansions, WC1B",WC1B,2.0,51.51813689999999,-0.1289704,"Bedford Court Mansions, Bedford Ave, London WC1B 3AA, UK"
12087,1175000,1 bedroom flat for sale,Queen's Gate South Kensington London SW7,SW7,1.0,51.4968539,-0.1792224,"Queen's Gate, South Kensington, London SW7, UK"
12088,1250000,2 bedroom terraced house for sale,"Porchester Terrace North, Bayswater, London, W2",W2,2.0,51.5171584,-0.1862909,"Porchester Terrace N, London W2, UK"
12089,1250000,4 bedroom apartment for sale,"Fleetwood Apartments, 2 Northwold Road, N16",N16,4.0,51.5630871,-0.0725812,"Fleetwood Apartments, 2 Northwold Rd, London N16 7HG, UK"
12090,1250000,2 bedroom apartment for sale,"Lombard Road, London, SW11",SW11,2.0,51.4711635,-0.1774239,"Lombard Rd, London SW11, UK"
12091,1250000,3 bedroom terraced house for sale,"61 Filmer Road, London, SW6 7JF",SW6,3.0,51.47700529999999,-0.2086486,"61 Filmer Rd, London SW6, UK"
12092,1250000,2 bedroom flat for sale,"Grove End Road, St John's Wood, London, NW8",NW8,2.0,51.5310445,-0.1767,"Grove End Rd, London NW8, UK"
12093,1250000,4 bedroom terraced house for sale,"Glengall Road, Peckahm, SE15",SE15,4.0,51.4798706,-0.0709887,"Glengall Rd, London, UK"
12094,1250000,2 bedroom flat for sale,"Tower One, The Corniche, 24 Albert Embankment, Nine Elms, London, SE1",SE1,2.0,51.4899439,-0.1227787,"24 Albert Embankment, London SE1 7AP, UK"
12096,1250000,3 bedroom flat for sale,"Rochester Row, Westminster, London, SW1P",SW1P,3.0,51.4942081,-0.1367983,"Rochester Row, London SW1, UK"
12097,1250000,2 bedroom apartment for sale,"Carrara Tower, 250 City Road, London, EC1",EC1,2.0,51.5288976,-0.0969623,"City Form, 250 City Rd, London EC1V 8AS, UK"
12098,1250000,2 bedroom flat for sale,"Artesian Road, Notting Hill, W2",W2,2.0,51.5155554,-0.1970554,"Artesian Rd, London W2, UK"
12099,1250000,3 bedroom flat for sale,"Arlington Park Mansions, Sutton Lane North, Chiswick, London, W4",W4,3.0,51.4921766,-0.2674997,"Arlington Park Mansions, Arlington Park Mansions, 33A Sutton Ln N, Chiswick, London W4 4HE, UK"
12100,1250000,2 bedroom flat for sale,"Bessborough Gardens, Pimlico, London, SW1V",SW1V,2.0,51.4890663,-0.1302814,"Bessborough Gardens, Pimlico, London SW1, UK"
12101,1250000,2 bedroom apartment for sale,Battersea Power Station London SW11,SW11,2.0,51.48202029999999,-0.1444907,"Circus Rd W, Nine Elms, London SW8 5BN, UK"
12102,1250000,2 bedroom flat for sale,"Lexham Gardens, Kensington, London, W8",W8,2.0,51.4958403,-0.1931042,"Lexham Gardens, London W8, UK"
12103,1250000,6 bedroom semi-detached house for sale,"The Reddings, Mill Hill, NW7",NW7,6.0,51.6232286,-0.2419358,"The Reddings, London NW7, UK"
12104,1250000,3 bedroom flat for sale,"HYDE PARK MANSIONS, CABBELL STREET, London, NW1",NW1,3.0,51.5188231,-0.1676547,"Hyde Park Mansions, Cabbell St, London NW1 5AZ, UK"
