,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date
888,152500.0,2 bedroom park home for sale,"Heatherbank Park, Fereneze Road, Shillford, Glasgow, East Renfrewshire",http://www.rightmove.co.uk/properties/84009213#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Sell-My-Group/Lytham-233729.html,,,2.0,2022-06-29 07:22:53.795003
889,152000.0,1 bedroom flat for sale,"Hope Street, City Centre",http://www.rightmove.co.uk/properties/123333227#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Vanilla-Square/Glasgow-77799.html,,,1.0,2022-06-29 07:22:53.795003
890,150000.0,2 bedroom flat for sale,"Firpark Court, Dennistoun, Glasgow, G31",http://www.rightmove.co.uk/properties/124033853#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Slater-Hogg-and-Howison/Dennistoun-Glasgow-4865.html,G31,,2.0,2022-06-29 07:22:53.795003
891,,Land for sale,"Regent Street, Kirkintilloch, Glasgow",http://www.rightmove.co.uk/properties/120605759#/?channel=COM_BUY,http://www.rightmove.co.uk/estate-agents/agent/CODA-Estates-Ltd/Glasgow-78938.html,,,,2022-06-29 07:22:53.795003
892,150000.0,2 bedroom flat for sale,"Hanson Park, Glasgow",http://www.rightmove.co.uk/properties/124320446#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Yopa/Scotland-77046.html,,,2.0,2022-06-29 07:22:53.795003
893,150000.0,2 bedroom apartment for sale,"Flat 2/1, 676 Cathcart Road, Glasgow",http://www.rightmove.co.uk/properties/124430834#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/The-Estate-Agency-Company/Glasgow-68733.html,,,2.0,2022-06-29 07:22:53.795003
894,150000.0,2 bedroom flat for sale,"1/1, 9 Lennox Gardens, Glasgow, G14 9ER",http://www.rightmove.co.uk/properties/85143882#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/McEwan-Fraser-Legal/Edinburgh-68041.html,G14,G14 9ER,2.0,2022-06-29 07:22:53.795003
895,150000.0,2 bedroom semi-detached house for sale,"Birch Close, Cambuslang, Glasgow, South Lanarkshire, G72",http://www.rightmove.co.uk/properties/124281212#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Countrywide/Burnside-487.html,G72,,2.0,2022-06-29 07:22:53.795003
896,150000.0,2 bedroom end of terrace house for sale,"Bonnyton Drive, Eaglesham, Glasgow",http://www.rightmove.co.uk/properties/123078296#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Allen-and-Harris/Clarkston-Glasgow-1771.html,,,2.0,2022-06-29 07:22:53.795003
897,,Land for sale,"Firbank Ave, Torrance, Glagsow",http://www.rightmove.co.uk/properties/120949247#/?channel=COM_BUY,http://www.rightmove.co.uk/estate-agents/agent/CODA-Estates-Ltd/Glasgow-78938.html,,,,2022-06-29 07:22:53.795003
898,150000.0,2 bedroom flat for sale,"Hamilton Road, Mount Vernon, G32",http://www.rightmove.co.uk/properties/123419180#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Century-21/Cambuslang-69877.html,G32,,2.0,2022-06-29 07:22:53.795003
899,150000.0,2 bedroom apartment for sale,"Pollokshaws Road, Flat 4/1, Strathbungo, Glasgow, G41 2PF",http://www.rightmove.co.uk/properties/85554360#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Clyde-Property/Shawlands-13751.html,G41,G41 2PF,2.0,2022-06-29 07:22:53.795003
